sessie_ID;campagne_ID;bezoeker_ID;starttijd_bezoek;eindtijd_bezoek;totale_tijd_bezoek;kliks_op_site_elementen;paginas_bekeken;apparaat;land;stad;verkeers_bron;conversie
1;2;1502;01-01-2001 00:12;01-01-2001 00:39;27;0;1;6;NL;6;2;0
2;1;1419;01-01-2001 00:35;01-01-2001 00:44;9;0;1;6;NL;6;1;0
3;2;151;01-01-2001 01:05;01-01-2001 01:27;22;0;1;4;NL;1;4;0
4;2;2730;01-01-2001 01:41;01-01-2001 02:06;25;1;1;3;NL;3;4;1
5;1;721;01-01-2001 01:44;01-01-2001 01:51;7;0;1;3;NL;7;2;0
6;1;310;01-01-2001 02:36;01-01-2001 02:47;11;1;1;3;NL;4;4;1
7;2;1558;01-01-2001 02:57;01-01-2001 03:22;25;1;1;3;NL;8;3;0
8;2;2784;01-01-2001 03:05;01-01-2001 03:08;3;1;1;7;NL;3;1;0
9;1;7;01-01-2001 03:26;01-01-2001 03:30;4;1;1;5;NL;5;2;1
10;1;1464;01-01-2001 04:07;01-01-2001 04:16;9;1;1;4;NL;5;1;0
11;2;2732;01-01-2001 04:23;01-01-2001 04:41;18;1;1;7;NL;1;3;0
12;1;2679;01-01-2001 04:30;01-01-2001 04:54;24;1;1;7;NL;8;4;0
13;1;513;01-01-2001 04:41;01-01-2001 04:58;17;0;1;9;NL;2;3;0
14;2;1864;01-01-2001 04:48;01-01-2001 05:03;15;0;1;3;NL;5;1;0
15;2;2508;01-01-2001 05:18;01-01-2001 05:44;26;1;1;3;NL;9;1;1
16;2;2014;01-01-2001 05:48;01-01-2001 05:53;5;0;1;1;NL;9;2;0
17;1;1971;01-01-2001 06:05;01-01-2001 06:32;27;0;1;2;NL;3;1;0
18;1;2319;01-01-2001 06:32;01-01-2001 06:42;10;0;1;6;NL;4;1;0
19;1;1360;01-01-2001 06:39;01-01-2001 06:48;9;0;1;8;NL;6;2;0
20;1;202;01-01-2001 07:16;01-01-2001 07:44;28;0;1;6;NL;7;3;0
21;1;1918;01-01-2001 07:32;01-01-2001 07:51;19;0;1;9;NL;3;1;0
22;1;1883;01-01-2001 07:37;01-01-2001 07:50;13;0;1;6;NL;5;4;0
23;2;2554;01-01-2001 07:40;01-01-2001 07:50;10;0;1;8;NL;8;2;0
24;2;2771;01-01-2001 07:58;01-01-2001 08:11;13;0;1;3;NL;7;1;0
25;1;1013;01-01-2001 08:02;01-01-2001 08:25;23;0;1;3;NL;8;1;0
26;2;2868;01-01-2001 08:09;01-01-2001 08:14;5;0;1;8;NL;8;4;0
27;1;30;01-01-2001 08:20;01-01-2001 08:26;6;1;1;6;NL;8;3;0
28;2;2904;01-01-2001 08:23;01-01-2001 08:32;9;0;1;5;NL;5;4;0
29;2;412;01-01-2001 08:31;01-01-2001 08:45;14;0;1;9;NL;9;4;0
30;1;1937;01-01-2001 08:45;01-01-2001 09:09;24;0;1;7;NL;5;4;0
31;1;2049;01-01-2001 08:45;01-01-2001 08:52;7;0;1;3;NL;7;4;0
32;3;1900;01-01-2001 09:00;01-01-2001 09:23;23;0;1;6;NL;9;4;0
33;2;2972;01-01-2001 09:09;01-01-2001 09:36;27;1;1;4;NL;1;4;1
34;1;1657;01-01-2001 09:18;01-01-2001 09:31;13;1;1;4;NL;9;4;1
35;3;395;01-01-2001 09:25;01-01-2001 09:53;28;0;1;8;NL;8;2;0
36;2;1823;01-01-2001 09:32;01-01-2001 09:58;26;1;1;7;NL;9;3;1
37;1;873;01-01-2001 09:54;01-01-2001 10:18;24;0;1;1;NL;7;4;0
38;1;1836;01-01-2001 10:02;01-01-2001 10:14;12;1;2;6;NL;2;4;0
39;2;1142;01-01-2001 10:14;01-01-2001 10:23;9;0;1;6;NL;3;1;0
40;2;128;01-01-2001 10:23;01-01-2001 10:49;26;0;1;5;NL;1;1;0
41;1;1912;01-01-2001 10:39;01-01-2001 10:52;13;1;2;3;NL;6;1;0
42;1;267;01-01-2001 11:07;01-01-2001 11:08;1;1;1;6;NL;4;3;1
43;1;984;01-01-2001 11:27;01-01-2001 11:48;21;1;1;9;NL;5;2;0
44;1;1858;01-01-2001 11:42;01-01-2001 11:53;11;0;1;1;NL;7;3;0
45;1;2643;01-01-2001 11:46;01-01-2001 12:14;28;0;2;6;NL;8;1;0
46;2;943;01-01-2001 12:10;01-01-2001 12:35;25;0;1;9;NL;1;1;0
47;1;896;01-01-2001 12:18;01-01-2001 12:22;4;0;2;4;NL;9;4;0
48;2;904;01-01-2001 12:18;01-01-2001 12:45;27;0;1;4;NL;4;2;0
49;1;1725;01-01-2001 12:25;01-01-2001 12:53;28;0;2;3;NL;7;1;0
50;1;581;01-01-2001 12:37;01-01-2001 12:59;22;0;2;3;NL;6;1;0
51;1;1581;01-01-2001 12:37;01-01-2001 12:45;8;0;2;4;NL;4;2;0
52;1;2403;01-01-2001 12:55;01-01-2001 13:15;20;1;2;7;NL;2;2;0
53;1;243;01-01-2001 12:56;01-01-2001 13:22;26;1;2;2;NL;2;4;0
54;1;2893;01-01-2001 13:04;01-01-2001 13:28;24;0;2;3;NL;7;1;0
55;1;1595;01-01-2001 13:13;01-01-2001 13:26;13;0;1;9;NL;3;3;0
56;2;1883;01-01-2001 13:14;01-01-2001 13:35;21;0;1;9;NL;3;2;0
57;1;1852;01-01-2001 13:22;01-01-2001 13:34;12;0;1;3;NL;1;2;0
58;2;2836;01-01-2001 13:26;01-01-2001 13:34;8;0;1;4;NL;8;2;0
59;2;1994;01-01-2001 13:33;01-01-2001 13:53;20;1;1;4;NL;4;2;1
60;1;2651;01-01-2001 13:55;01-01-2001 14:09;14;1;1;3;NL;4;3;0
61;2;858;01-01-2001 14:00;01-01-2001 14:07;7;0;1;2;NL;4;3;0
62;1;654;01-01-2001 14:02;01-01-2001 14:22;20;1;2;1;NL;6;1;1
63;2;1931;01-01-2001 14:58;01-01-2001 15:08;10;0;1;6;NL;5;1;0
64;1;461;01-01-2001 15:04;01-01-2001 15:22;18;1;1;1;NL;5;1;1
65;1;334;01-01-2001 15:08;01-01-2001 15:19;11;0;1;6;NL;3;4;0
66;1;635;01-01-2001 15:10;01-01-2001 15:36;26;1;1;1;NL;3;2;1
67;1;813;01-01-2001 15:18;01-01-2001 15:43;25;0;2;2;NL;8;3;0
68;1;289;01-01-2001 15:39;01-01-2001 15:53;14;1;2;1;NL;4;2;0
69;2;2186;01-01-2001 15:40;01-01-2001 16:01;21;0;1;4;NL;9;2;0
70;1;1749;01-01-2001 15:47;01-01-2001 15:53;6;1;1;3;NL;8;1;0
71;2;601;01-01-2001 15:47;01-01-2001 16:16;29;1;1;3;NL;7;2;0
72;1;848;01-01-2001 15:52;01-01-2001 15:59;7;1;1;3;NL;5;4;0
73;2;2789;01-01-2001 16:14;01-01-2001 16:40;26;0;1;9;NL;8;4;0
74;2;2738;01-01-2001 16:29;01-01-2001 16:54;25;1;1;4;NL;1;2;1
75;1;370;01-01-2001 16:29;01-01-2001 16:35;6;1;1;8;NL;5;3;0
76;1;1840;01-01-2001 16:42;01-01-2001 16:43;1;2;1;3;NL;7;2;0
77;1;969;01-01-2001 16:55;01-01-2001 17:17;22;1;1;5;NL;1;4;0
78;2;1079;01-01-2001 17:00;01-01-2001 17:26;26;1;1;1;NL;2;3;0
79;2;1799;01-01-2001 17:04;01-01-2001 17:25;21;1;1;3;NL;1;4;1
80;1;2953;01-01-2001 17:04;01-01-2001 17:06;2;1;1;1;NL;5;4;0
81;2;1748;01-01-2001 17:06;01-01-2001 17:25;19;0;1;1;NL;5;2;0
82;2;2859;01-01-2001 17:16;01-01-2001 17:28;12;1;1;2;NL;5;2;0
83;2;2461;01-01-2001 17:16;01-01-2001 17:43;27;1;1;2;NL;1;3;0
84;2;2336;01-01-2001 17:25;01-01-2001 17:49;24;1;1;3;NL;5;1;0
85;2;2371;01-01-2001 17:37;01-01-2001 18:01;24;0;1;7;NL;8;4;0
86;1;2375;01-01-2001 17:53;01-01-2001 18:05;12;1;1;2;NL;1;3;0
87;1;766;01-01-2001 18:02;01-01-2001 18:12;10;0;1;6;NL;7;1;0
88;1;2931;01-01-2001 18:11;01-01-2001 18:35;24;2;1;4;NL;3;2;0
89;2;2755;01-01-2001 18:12;01-01-2001 18:16;4;1;1;4;NL;1;4;0
90;1;1801;01-01-2001 18:28;01-01-2001 18:31;3;1;2;9;NL;1;2;0
91;2;2133;01-01-2001 18:34;01-01-2001 18:36;2;1;1;5;NL;1;3;0
92;1;2640;01-01-2001 18:34;01-01-2001 18:49;15;1;1;3;NL;4;4;0
93;1;458;01-01-2001 18:49;01-01-2001 18:52;3;1;1;3;NL;5;2;0
94;1;195;01-01-2001 18:50;01-01-2001 19:07;17;1;2;2;NL;6;4;0
95;2;2987;01-01-2001 19:08;01-01-2001 19:13;5;0;2;8;NL;1;2;0
96;2;1662;01-01-2001 19:11;01-01-2001 19:37;26;0;2;6;NL;6;3;0
97;1;2166;01-01-2001 19:12;01-01-2001 19:25;13;0;3;3;NL;7;4;0
